60
2017-09-22 08:00:00+02;320;1305.65818005;3.648756832885582
2017-10-01 02:00:00+02;498;1252.88917727;45.50515827732096
2017-10-01 05:01:00+02;401;1273.54246223;0
2017-10-01 05:02:00+02;95;1325.65967269;0
2017-10-01 09:03:00+02;623;1281.35359784;0
2017-10-01 12:04:00+02;265;1295.28952653;0
2017-10-01 14:05:00+02;401;1271.80165971;0
2017-10-01 14:06:00+02;198;1365.27727339;0
2017-10-01 15:07:00+02;330;1456.60782493;0
2017-10-02 20:08:00+02;117;1261.58518825;0
2017-10-02 22:09:00+02;515;1306.37252155;0
2017-10-02 23:10:00+02;609;1197.33134008;0
