13
2017-09-22 08:00:00+02;40;1307.59448762;2.4535613625228083
2017-10-01 02:00:00+02;22;1351.21599362;0
2017-10-01 05:01:00+02;76;1262.30275608;13
2017-10-01 05:02:00+02;26;1314.5846395;0
2017-10-01 09:03:00+02;49;1393.14176743;0
2017-10-01 12:04:00+02;79;1279.36437494;-4.771518214767498
2017-10-01 14:05:00+02;55;1295.25153564;0
2017-10-01 14:06:00+02;46;1291.35477292;0
2017-10-01 15:07:00+02;26;1331.85493979;0
2017-10-02 20:08:00+02;17;1383.88061263;0
2017-10-02 22:09:00+02;64;1285.40039021;0
2017-10-02 23:10:00+02;10;1375.82986897;0
