35
2017-09-22 08:00:00+02;604;1336.07912273;6.715838951947601
2017-10-07 02:00:00+02;164;1281.47152814;13.431677903895203
2017-10-07 05:01:00+02;604;1305.48570428;0
2017-10-07 05:02:00+02;164;1270.12321834;26.863355807790406
2017-10-07 09:03:00+02;604;1308.70003038;0
2017-10-07 12:04:00+02;164;1272.00746991;0
2017-10-07 14:05:00+02;604;1317.01977589;0
2017-10-07 14:06:00+02;164;1252.21016347;13.431677903895203
2017-10-07 15:07:00+02;604;1322.15431181;0
2017-10-07 20:08:00+02;164;1250.81784192;13.431677903895203
2017-10-07 22:09:00+02;604;1297.38107086;0
2017-10-07 23:10:00+02;164;1287.03185216;0
