2017-09-22 08:00:00+02;1;1327.15366918;1.6549519818354352
2017-10-08 08:00:00+02;4;1299.47180744;7.605530828683229
2017-10-08 08:01:00+02;61;1415.37399092;0
2017-10-08 08:02:00+02;10;1348.2312672;0
2017-10-08 08:03:00+02;81;1354.42221883;0
2017-10-08 08:04:00+02;86;1276.32790849;15.521887435605546
2017-10-08 08:05:00+02;40;1315.16963331;0
2017-10-08 08:06:00+02;25;1344.42221883;0
2017-10-08 08:07:00+02;26;1289.4324424;0
2017-10-08 08:08:00+02;11;1315.16963331;0
2017-10-08 08:09:00+02;60;1439.62350863;0
2017-10-08 08:10:00+02;41;1364.97663157;0
2017-10-08 08:20:00+02;81;1354.42221883;0
2017-10-08 08:30:00+02;7;1289.3018037;0
2017-10-08 08:40:00+02;13;1489.08468296;0
2017-10-08 08:50:00+03;19;1168.20027942;1.396440094861264
2017-10-08 09:00:00+03;16;1284.08407241;0
2017-10-08 09:01:00+03;27;1338.67498851;0
